Year,Season,F,M,Male Ratio,Female Ratio
1900,Summer,23.0,1186.0,0.9809760132340778,0.01902398676592225
1904,Summer,6.0,629.0,0.9905511811023622,0.009448818897637795
1906,Summer,6.0,761.0,0.9921773142112125,0.007822685788787484
1908,Summer,44.0,1773.0,0.9757842597688497,0.024215740231150248
1912,Summer,53.0,1980.0,0.9739301524840138,0.026069847515986226
1920,Summer,73.0,2282.0,0.9690021231422505,0.03099787685774947
1924,Summer,132.0,2531.0,0.9504318437852046,0.04956815621479534
1924,Winter,8.0,275.0,0.9717314487632509,0.028268551236749116
1928,Summer,285.0,2344.0,0.891593761886649,0.10840623811335108
1928,Winter,20.0,370.0,0.9487179487179487,0.05128205128205128
1932,Summer,162.0,1382.0,0.8950777202072538,0.10492227979274611
1932,Winter,15.0,179.0,0.9226804123711341,0.07731958762886598
1936,Summer,316.0,3546.0,0.9181771103055412,0.08182288969445883
1936,Winter,71.0,497.0,0.875,0.125
1948,Summer,420.0,3636.0,0.8964497041420119,0.10355029585798817
1948,Winter,76.0,536.0,0.8758169934640523,0.12418300653594772
1952,Summer,409.0,3483.0,0.8949126413155191,0.10508735868448099
1952,Winter,95.0,448.0,0.8250460405156538,0.17495395948434622
1956,Summer,286.0,2200.0,0.8849557522123894,0.11504424778761062
1956,Winter,104.0,513.0,0.8314424635332253,0.1685575364667747
1960,Summer,471.0,3755.0,0.8885470894462849,0.1114529105537151
1960,Winter,112.0,369.0,0.7671517671517671,0.23284823284823286
1964,Summer,509.0,3281.0,0.8656992084432718,0.13430079155672822
1964,Winter,145.0,669.0,0.8218673218673219,0.17813267813267813
1968,Summer,598.0,3570.0,0.8565259117082533,0.14347408829174665
1968,Winter,158.0,676.0,0.8105515587529976,0.18944844124700239
1972,Summer,818.0,4582.0,0.8485185185185186,0.1514814814814815
1972,Winter,152.0,534.0,0.7784256559766763,0.22157434402332363
1976,Summer,1027.0,3334.0,0.7645035542306811,0.23549644576931897
1976,Winter,172.0,645.0,0.7894736842105263,0.21052631578947367
1980,Summer,874.0,3169.0,0.783823893148652,0.216176106851348
1980,Winter,154.0,574.0,0.7884615384615384,0.21153846153846154
1984,Summer,1370.0,4309.0,0.7587603451311851,0.24123965486881493
1984,Winter,192.0,751.0,0.7963944856839873,0.20360551431601273
1988,Summer,1743.0,4721.0,0.7303527227722773,0.26964727722772275
1988,Winter,223.0,754.0,0.7717502558853634,0.22824974411463664
1992,Summer,2072.0,4725.0,0.6951596292481977,0.30484037075180226
1992,Winter,383.0,925.0,0.7071865443425076,0.29281345565749234
1994,Winter,258.0,603.0,0.7003484320557491,0.29965156794425085
1996,Summer,2481.0,4713.0,0.6551292743953294,0.3448707256046706
1998,Winter,529.0,862.0,0.6196980589503954,0.3803019410496046
2000,Summer,2772.0,4262.0,0.6059141313619563,0.3940858686380438
2002,Winter,524.0,866.0,0.6230215827338129,0.376978417266187
2004,Summer,2819.0,3907.0,0.5808801665179899,0.4191198334820101
2006,Winter,542.0,896.0,0.6230876216968011,0.3769123783031989
2008,Summer,2944.0,3991.0,0.5754866618601298,0.42451333813987024
2010,Winter,597.0,825.0,0.580168776371308,0.41983122362869196
2012,Summer,2924.0,3666.0,0.5562974203338391,0.44370257966616083
2014,Winter,618.0,933.0,0.6015473887814313,0.3984526112185687
2016,Summer,3196.0,3996.0,0.5556173526140156,0.44438264738598443
